文件,总代码量,总注释量,总空行量,实际代码量,实际代码比率,总注释比率,总空行比率
htmlFilter.py,79,14,11,54,0.6835443037974683,0.17721518987341772,0.13924050632911392
tools.py,273,34,13,226,0.8278388278388278,0.12454212454212454,0.047619047619047616
__init__.py,5,5,0,0,0.0,1.0,0.0
index_slides.py,74,0,13,61,0.8243243243243243,0.0,0.17567567567567569
rm.py,35,6,5,24,0.6857142857142857,0.17142857142857143,0.14285714285714285
bbs_genspider.py,109,4,16,89,0.8165137614678899,0.03669724770642202,0.14678899082568808
dxy_profile.py,155,5,21,129,0.832258064516129,0.03225806451612903,0.13548387096774195
dxy_raw_profile.py,86,4,7,75,0.872093023255814,0.046511627906976744,0.08139534883720931
color_power.py,52,0,12,40,0.7692307692307693,0.0,0.23076923076923078
game_surface.py,28,5,3,20,0.7142857142857143,0.17857142857142858,0.10714285714285714
linear_interploation.py,39,0,7,32,0.8205128205128205,0.0,0.1794871794871795
pixes.py,14,0,1,13,0.9285714285714286,0.0,0.07142857142857142
draws.py,30,0,3,27,0.9,0.0,0.1
game.py,27,0,5,22,0.8148148148148148,0.0,0.18518518518518517
game_dun.py,46,0,3,43,0.9347826086956522,0.0,0.06521739130434782
ch_text_font.py,27,1,3,23,0.8518518518518519,0.037037037037037035,0.1111111111111111
envent_thi.py,32,1,5,26,0.8125,0.03125,0.15625
font_learn.py,34,8,3,23,0.6764705882352942,0.23529411764705882,0.08823529411764706
fullscreen_event.py,32,5,4,23,0.71875,0.15625,0.125
learn1.py,31,1,8,22,0.7096774193548387,0.03225806451612903,0.25806451612903225
mix_mode_event.py,34,5,5,24,0.7058823529411765,0.14705882352941177,0.14705882352941177
resize_pro.py,27,1,5,21,0.7777777777777778,0.037037037037037035,0.18518518518518517
ganji_phone.py,70,1,9,60,0.8571428571428571,0.014285714285714285,0.12857142857142856
ganji_phone_speed.py,93,0,9,84,0.9032258064516129,0.0,0.0967741935483871
ganji_sipder.py,177,0,16,161,0.9096045197740112,0.0,0.0903954802259887
get_xiciip.py,62,1,12,49,0.7903225806451613,0.016129032258064516,0.1935483870967742
buy_car.py,71,0,11,60,0.8450704225352113,0.0,0.15492957746478872
hdf_spider.py,68,0,6,62,0.9117647058823529,0.0,0.08823529411764706
ex2.py,149,1,7,141,0.9463087248322147,0.006711409395973154,0.04697986577181208
http_request_test.py,22,0,5,17,0.7727272727272727,0.0,0.22727272727272727
idDetection.py,156,1,2,153,0.9807692307692307,0.00641025641025641,0.01282051282051282
id_search.py,46,13,7,26,0.5652173913043478,0.2826086956521739,0.15217391304347827
items.py,20,5,5,10,0.5,0.25,0.25
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.23300970873786409
