文件,总代码量,总注释量,总空行量,实际代码量,实际代码比率,总注释比率,总空行比率
cqHoseSpider.py,55,1,9,45,0.8181818181818182,0.01818181818181818,0.16363636363636366
echarts_learn.py,55,0,18,37,0.6727272727272727,0.0,0.3272727272727273
ech_le.py,54,4,13,37,0.6851851851851852,0.07407407407407407,0.24074074074074076
ski-cross1.py,54,11,15,28,0.5185185185185185,0.2037037037037037,0.2777777777777778
numpy_learn.py,54,27,4,23,0.4259259259259259,0.5,0.07407407407407407
color_power.py,52,0,12,40,0.7692307692307693,0.0,0.2307692307692308
overlay_test.py,51,3,17,31,0.6078431372549019,0.05882352941176471,0.3333333333333333
stack_queue.py,51,21,3,27,0.5294117647058824,0.4117647058823529,0.05882352941176471
malache.py,51,8,8,35,0.6862745098039216,0.1568627450980392,0.1568627450980392
queue.py,51,21,4,26,0.5098039215686274,0.4117647058823529,0.0784313725490196
py_neo4j_v4.py,50,3,5,42,0.84,0.06,0.1
tuple.py,48,8,4,36,0.75,0.16666666666666666,0.08333333333333333
test.py,48,0,3,45,0.9375,0.0,0.0625
ten_test.py,48,3,10,35,0.7291666666666666,0.0625,0.20833333333333331
max_substring.py,48,4,2,42,0.875,0.08333333333333333,0.04166666666666666
随机.py,47,18,8,21,0.44680851063829785,0.3829787234042553,0.1702127659574468
py_numpy_index.py,46,22,2,22,0.4782608695652174,0.4782608695652174,0.043478260869565216
id_search.py,46,13,7,26,0.5652173913043478,0.2826086956521739,0.15217391304347827
game_dun.py,46,0,3,43,0.9347826086956522,0.0,0.06521739130434782
string.py,45,2,4,39,0.8666666666666667,0.04444444444444445,0.08888888888888889
array_split.py,45,25,0,20,0.4444444444444444,0.5555555555555556,0.0
decorator1.py,45,16,11,18,0.4,0.3555555555555556,0.24444444444444444
zhujiao.py,44,0,6,38,0.8636363636363636,0.0,0.13636363636363635
find_all_url.py,44,1,14,29,0.6590909090909091,0.022727272727272728,0.3181818181818182
zhunfuzeren.py,44,4,5,35,0.7954545454545454,0.09090909090909093,0.11363636363636365
double_pin.py,44,9,4,31,0.7045454545454546,0.20454545454545456,0.09090909090909093
sad.py,44,0,7,37,0.8409090909090909,0.0,0.1590909090909091
plt_annotation.py,43,16,5,22,0.5116279069767442,0.372093023255814,0.11627906976744184
string_multipy.py,43,4,8,31,0.7209302325581395,0.09302325581395347,0.18604651162790695
day2.py,43,17,6,20,0.4651162790697674,0.3953488372093023,0.13953488372093026
atoi.py,43,4,4,35,0.813953488372093,0.09302325581395347,0.09302325581395347
matlib_new.py,43,14,4,25,0.5813953488372093,0.32558139534883723,0.09302325581395347
xuanzhuan.py,43,13,1,29,0.6744186046511628,0.3023255813953488,0.02325581395348837
test1.py,43,5,5,33,0.7674418604651163,0.11627906976744184,0.11627906976744184
metaclass.py,42,6,14,22,0.5238095238095238,0.14285714285714285,0.3333333333333333
hah.py,42,0,6,36,0.8571428571428571,0.0,0.14285714285714285
py_pillow_weixin.py,42,2,3,37,0.8809523809523809,0.047619047619047616,0.07142857142857142
main.py,42,3,2,37,0.8809523809523809,0.07142857142857142,0.047619047619047616
fuzeren.py,41,4,2,35,0.8536585365853658,0.0975609756097561,0.04878048780487805
test.py,41,0,9,32,0.7804878048780488,0.0,0.2195121951219512
pra1.py,41,10,8,23,0.5609756097560976,0.24390243902439024,0.1951219512195122
invisible_tag_test.py,40,0,9,31,0.775,0.0,0.225
__init__.py,40,4,9,27,0.675,0.1,0.225
文件修改.py,40,16,5,19,0.475,0.4,0.125
fake_4_test.py,40,0,8,32,0.8,0.0,0.2
fake_3_test.py,40,0,8,32,0.8,0.0,0.2
fake_4_test.py,40,0,8,32,0.8,0.0,0.2
fake_4_test.py,40,0,8,32,0.8,0.0,0.2
fake_3_test.py,39,0,8,31,0.7948717948717948,0.0,0.20512820512820512
ski-learn-1.py,39,16,4,19,0.4871794871794872,0.41025641025641024,0.10256410256410256
ski_learn.py,39,12,6,21,0.5384615384615384,0.3076923076923077,0.15384615384615385
fake_1_test.py,39,0,8,31,0.7948717948717948,0.0,0.20512820512820512
linear_interploation.py,39,0,7,32,0.8205128205128205,0.0,0.1794871794871795
sum.py,38,4,2,32,0.8421052631578947,0.10526315789473684,0.05263157894736842
heap_m.py,38,5,7,26,0.6842105263157895,0.13157894736842105,0.18421052631578946
fake_5_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_3_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_2_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
no_assertions__ret_code_of_1__test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_2_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_3_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_2_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_2_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_2_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_6_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_2_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_4_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_3_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_2_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_2_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
las.py,38,3,11,24,0.631578947368421,0.07894736842105263,0.2894736842105263
incomplete_todo_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
fake_2_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
trans_1.py,38,4,2,32,0.8421052631578947,0.10526315789473684,0.05263157894736842
fake_2_test.py,38,0,8,30,0.7894736842105263,0.0,0.21052631578947367
